Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
,,,,https://github.com/leo-brewin/hybrid-latex,Related paper github,,Page footer,working,,,code,,
8,Reasoning about Complex Networks: A Logic Programming Approach,https://arxiv.org/pdf/2209.15067.pdf,,http://networkx.lanl.gov/,Online link,,Page footer,not working,,,organization,,
9,Revealing the Semantics of Data Wrangling Scripts With COMANTICS,https://arxiv.org/pdf/2209.13995.pdf,,https://github.com/,General github link,,Page footer,working,,,code,,
,,,,https://www.kaggle.com/,General kaggle link,,Page footer,working,,,code,,
,,,,https://querytool.com/,Online website,,References,working,,,organization,,
,,,,http://paulfitz/,Online website,,References,not working,,,organization,,
,,,,http://www.diffkit.org/,Online website,,References,working,,,organization,,
,,,,https://github.com/na-ka-na/ExcelCompare/,Related project,,References,working,,,organization,,
,,,,https://www.ridom.de/u/Comparison_Table.html,Online website,,References,working,,,organization,,
,,,,https://jupyter-contrib-nbextensions.readthedocs.io/en/latest/nbextensions/varInspector,Online website,,References,working,,,organization,,
,,,,https://github.com/ardiya/siamesenetwork-tensorflow,Relatedproject github link,,References,working,,,organization,,
,,,,https://openrefine.org/,Online website,,References,working,,,paper,,
,,,,https://dispatchintegration.com/data-integration-software/compare/,Online website,,References,working,,,paper,,
,,,,https://office.microsoft.com/en-us/excel,Online website,,References,working,,,organization,,
,,,,https://www.tableau.com/products/prep,Online website,,References,working,,,organization,,
,,,,https://www.tangiblesoftwaresolutions.com/,Online website,,References,working,,,organization,,
,,,,https://www.trifacta.com/,Online website,,References,working,,,organization,,
10,Visualizing the Scripts of Data Wrangling with SOMNUS,https://arxiv.org/pdf/2209.13981.pdf,21,https://www.rdocumentation.org/,Online website to access required concept,RDocumentation,,working,Y,,organization,Y,
,,,,https://github.com/xkKevin/Somnus,Source code of project,,Figure caption,working,,,code,,
,,,,https://stackoverflow.com/questions/30374143/recursive-error-in-dplyr-mutate,,,References,working,,,organization,,
,,,,https://github.com/beecycles/Power_of_Irma,,,References,working,,,code,,
,,,,https://bost.ocks.org/mike/algorithms/,Concept details,,References,working,,,organization,,
,,,,https://app.code2flow.com/,Code online IDE,,References,working,,,organization,,
,,,,https://github.com/baltimore-sun-data/baltimore-police-overtime,Related paper github,GitHub,References,working,Y,,code,,
,,,,https://www.rdocumentation.org/packages/dplyr/versions/0.7.8,Online documentation,,References,working,,,organization,,
,,,,https://www.eclipse.org/elk/,Online website,,References,working,,,organization,,
,,,,https://barefigur.es/companies/apple/iphone/,Online figure details,,References,working,,,organization,,
,,,,https://openrefine.org/,Online website,,References,working,,,paper,,
