Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
,,,,https://preprocessed-connectomes-project.org/abide/,Project related MRI/Bio image data,ABIDE,Materials and methoids,working,Y,,project,,
10,DYNAMIC TIME-ALIGNMENT OF DIMENSIONAL ANNOTATIONS OF EMOTION USING RECURRENT NEURAL NETWORKS,https://arxiv.org/pdf/2209.10223.pdf,,https://github.com/jameslyons/python_speech_features,Source code github,,Footer page,working,,Y,code,Y,
11,Innovation and informal knowledge exchanges between firms,https://arxiv.org/pdf/2208.14719.pdf,,https://github.com/JusteRaimbault/InnovationInformal,Source code in github,GitHub,Results,working,Y,Y,code,,
,,,,https://doi.org/10.7910/DVN/X8PWPF,DOI pf paper,,Results,working,,,paper,,
12,Rethinking Conversational Recommendations: Is Decision Tree All You Need?,https://arxiv.org/pdf/2208.14614.pdf,,https://github.com/HCDM/XRec,Source code in github,GitHub,Experiments,working,Y,Y,code,Y,
,,,,https://ojs.aaai.org/index.php/AAAI/article/view/4204,DOI pf paper,,References,working,,,paper,,
,,,,https://doi.org/10.1016/j.eswa.2016.02.013,DOI pf paper,,References,working,,,paper,,5
,,,,https://aclanthology.org/P19-1369/,DOI pf paper,,References,working,,,paper,,
13,Local integrals of motion and the stability of many-body localisation in disorder-free systems,https://arxiv.org/pdf/2208.14432.pdf,,https://doi.org/https://doi.org/10.1016/j.crhy.2018.03.003,DOI pf paper,,References,working,,,paper,,
,,,,https://doi.org/https://github.com/sjt48/PyFlow,DOI pf paper,,References,not working,,,paper,,89
,,,,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.48.5863,DOI pf paper,,References,working,,,paper,,
14,AuthROS: Secure Data Sharing Among Robot Operating Systems Based on Ethereum,https://arxiv.org/pdf/2208.14269.pdf,,https://roscon.ros.org/2022/,Conference for publication,,References,working,,,paper,,
,,,,https://geth.ethereum.org/docs/,Gerth documentation,,References,working,,,organization,,
,,,,http://www.gmbz.org.cn/upload/2018-07-24/1532401673138056311.pdf,website,,References,not working,,,organization,,
,,,,https://www.researchgate.net/publication/363032937_ElasticROS_An_Elastically_Collaborative_Robot_Operation_System_for_Fog_and_Cloud_Robotics,Related paper link,,References,working,,,paper,,
,,,,http://www.gmbz.org.cn/upload/2018-04-04/1522788048733065051.pdf,website,,References,not working,,,organization,,
15,Fossil group origins XII. Large-scale environment around fossil systems,https://arxiv.org/pdf/2208.13784.pdf,,http://skyserver.sdss.org/CasJobs/default.aspx,Skyserver online website,,Page footer,working,,,organization,,
,,,,https://cxc.harvard.edu/toolkit/pimms.jsp,Proposal planning tollkit,,,working,,,organization,,
,,,,10.13039/501100011033,DOI of related paper,,,working,,,paper,,
16,Uncovering dark matter density profiles in dwarf galaxies with graph neural networks,https://arxiv.org/pdf/2208.12825.pdf,,https://github.com/maoshenl/StarSampler,Source code of project,,Page footer,working,,Y,code,Y,
,,,,https://github.com/trivnguyen/dsph_gnn,Source code of project,GitHub,Acknowledgements,working,Y,Y,code,Y,
,,,,https://iaifi.org/,Project concept website,,Conclusion,working,,,organization,,
,,,,https://arxiv.org/abs/https://academic.oup.com/mnras/article-pdf/451/3/2524/4032739/stv942.pdf,DOI of related paper,,references,working,,,paper,,
,,,,https://arxiv.org/abs/https://academic.oup.com/mnras/article-pdf/283/3/L72/3305901/283-3-L72.pdf,DOI of related paper,,references,working,,,paper,,
,,,,https://arxiv.org/abs/https://academic.oup.com/mnras/article-pdf/420/3/2318/3020178/mnras0420-2318.pdf,DOI of related paper,,references,working,,,paper,,
,,,,https://arxiv.org/abs/https://doi.org/10.1080/00031305.1992.10475856,DOI of related paper,,references,working,,,paper,,5
17,Synthetic End-User Testing: Modeling Realistic Agents Based on Behavioral Examples,https://arxiv.org/pdf/2208.12261.pdf,,https://github.com/MEPalma/SyntheticEndUserTesting-Prototype,Source code of project,,Introduction,working,,Y,code,Y,
,,,,https://developer.android.com/studio/test/other-testing-tools/monkey,Related link,,references,working,,,paper,,
,,,,https://arxiv.org/abs/1909.04847,DOI of related paper,,references,working,,,paper,,
,,,,https://github.com/MEPalma/SyntheticEndUserTesting-Prototype,Related paper girthub code,,references,working,,,code,,
18,QPU-System Co-Design for Quantum HPC Accelerators ?,https://arxiv.org/pdf/2208.11449.pdf,,https://github.com/lfd/arcs2022,Source code of project,,Page footer,working,,Y,code,Y,
,,,,https://doi.org/10.48550/arXiv.1801.00862,DOI of related paper,,references,working,,,paper,,
,,,,https://doi.org/10.1146%2Fannurev-conmatphys-031119-050605,DOI of related paper,,references,working,,,paper,,27
,,,,https://link.aps.org/doi/10.1103/RevModPhys.94.015004,DOI of related paper,,references,working,,,paper,,
19,DualVoice: Speech Interaction that Discriminates between Normal and Whispered Voice Input,https://arxiv.org/pdf/2208.10499,,https://doi.org/10.1145/3526113.3545685,Papers DOI,,Abstarct,working,,,paper,,
,,,,https://doi.org/10.1145/3271553.3271611,Papers DOI,,Abstarct,working,,,paper,,35
