Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package
,,,,https://doi.org/10.1109/MDAT.2020.3013727,IEEE paper link,,References,working,,,paper,
,,,,https://doi.org/10.1145/3483790,ACM DL link,,References,working,,,paper,
,,,,https://github.com/openrisc/orpsoc-cores,Related paper github link,,References,working,,,code,
9,DPXPlain: Privately Explaining Aggregate Query Answers,https://arxiv.org/pdf/2209.01286.pdf,5,https://anonymous.4open.science/r/Private-Explanation-System-083D,Related paper github link,,References,working,,,organization,
,,,,https://www1.nyc.gov/site/tlc/about/tlc-trip-record-data.page,NYC website,,References,working,,,blog,
,,,,https://differentialprivacy.org/one-shot-top-k/,DifferentialPrivacy website,,References,working,,,organization,
,,,,https://doi.org/10.18128/D030.V9.0,IPUMS website,,References,working,,,paper,
,,,,https://differentialprivacy.org/exponential-mechanism-bounded-range/,DifferentialPrivacy website,,References,working,,,organization,
10,DEEP LEARNING-BASED ECG CLASSIFICATION ON RASPBERRY PI USING A TENSORFLOWLITE MODEL BASED ON PTB-XL DATASET,https://arxiv.org/ftp/arxiv/papers/2209/2209.00989.pdf,11,https://www.globenewswire.com/news-release/2021/10/12/2312160/0/en/Internet-of-things-IoT-in-Healthcare-Market-Worth-USD-44652-Billion-at-25-9-CAGR-by-2028-Owing-to-Presence-of-Large-Population-in-AsiaPacific.html,News link,,References,working,,,blog,
,,,,https://doi.org/10.3390/s20051461,Paper link,,References,working,,,paper,
,,,,https://doi.org/10.1038/s41597-020-0495-6,ScienceData website,,References,working,,,paper,
,,,,https://www.tensorflow.org/,,,References,working,,,organization,
,,,,https://www.tensorflow.org/lite,,,References,working,,,organization,
,,,,https://doi.org/10.1007/978-3-030-66770-2/_20,Springer link,,References,working,,,paper,
,,,,https://google.github.io/flatbuffers/,Opensource project,,References,working,,,organization,
,,,,https://doi.org/10.1109/ICSIPA.2009.5478671,IEEE paper link,,References,working,,,paper,
,,,,https://doi.org/10.1038/s41597-020-0495-6,Paper publication link,,References,working,,,paper,
,,,,https://physionet.org/content/ptb-xl/1.0.1/,Largely publicaly available dataset,Physionet,References,working,Y,,organization,
,,,,https://github.com/rightkushagra/PTB-XL-Classification,Github code on related task,GitHub,References,working,Y,,code&data,
11,Comparing Results of Thermographic Images Based Diagnosis for Breast Diseases,https://arxiv.org/ftp/arxiv/papers/2208/2208.14410.pdf,3,http://www.ic.uff.br/index,IC website,,References,not working,,,blog,
,,,,http://visual.ic.uff.br/en/proengl,Visual IC website,,References,not working,,,organization,
,,,,http://www.ic.uff.br/index.php/ptlpos-graduacao/teses-e-dissertacoes,Visual IC website,,References,not working,,,blog,
12,"A Survey on Text-to-SQL Parsing: Concepts, Methods, and Future Directions",https://arxiv.org/pdf/2208.13629.pdf,1,http://www.databaseanswers.org/,Database Answers website,GoDaddy,Footer note of paper,working,Y,,organization,
13,Paraconsistent Logic and Query Answering in Inconsistent Databases,https://arxiv.org/pdf/2208.12976.pdf,1,https://orcid.org/0000-0002-8725-0197,ORCID website,,Header of page-near paper title,,,,paper,
14,DBE-KT22: A Knowledge Tracing Dataset Based on Online Student Evaluation,https://arxiv.org/pdf/2208.12651.pdf,12,https://sites.google.com/site/assistmentsdata,Google link on publicly available datasets,Google,Footer note of paper,working,Y,,paper,
,,,,https://www.assistments.org/,Webvsite,,Footer note of paper,working,,,organization,
,,,,https://www.doe.mass.edu/mcas/testitems.html,DESE website,,Footer note of paper,working,,,organization,
,,,,https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=507,Website online,,Footer note of paper,working,,,organization,
,,,,https://www.junyiacademy.org/,Junyiaacademy website,,Footer note of paper,working,,,blog,
,,,,https://www.kaggle.com/junyiacademy/learning-activity-public-dataset-by-junyi-academy/,Kaggle competition,,Footer note of paper,working,,,code,
,,,,https://github.com/chrispiech/DeepKnowledgeTracing/tree/master/data/synthetic,Github code on related task,,Footer note of paper,working,,,code,
,,,,https://pslcdatashop.web.cmu.edu/KDDCup,Website online,,Footer note of paper,working,,,blog,
,,,,https://www.carnegielearning.com/,Carnegielearning website,,Footer note of paper,working,,,organization,
,,,,https://www.riiid.co/,RIIID website,,Footer note of paper,working,,,organization,
,,,,https://cs.anu.edu.au/dab/index.html,Data analytics website,,Footer note of paper,working,,,organization,
,,,,https://ada.edu.au/,Data analytics website,,Footer note of paper,working,,,organization,
15,A Meta-Analysis of Solar Forecasting Based on Skill Score,https://arxiv.org/ftp/arxiv/papers/2208/2208.10536.pdf,11,https://doi.org/10.1109/PESGM.2018.8586301,DOI link:paper,,References,working,,,paper,
,,,,https://doi.org/10.1016/j.apenergy.2021.117912,DOI link: Springer ,,References,working,,,paper,
,,,,https://doi.org/10.1049/iet-rpg.2018.5649,DOI link,,References,working,,,paper,
